n,Kn,Cn,Pn,Wn,Sn,,,,,
1,1,1,1,1,2,,,,,
2,2,2,2,2,2,,,,,
3,2,2,2,2,2,,,,,
4,3,3,2,3,3,,,,,
5,3,2,2,4,3,,,,,
6,4,3,2,5,4,,,,,
7,4,2,2,6,4,,,,,
8,5,3,2,7,5,,,,,
9,5,2,2,8,5,,,,,
10,6,3,2,9,6,,,,,
,,,,,,,,,,
,,,,,,,,,,
Kn\m,1,2,3,4,5,6,7,8,9,10
1,2,,,,,,,,,
2,2,3,,,,,,,,
3,2,3,4,,,,,,,
4,3,3,4,5,,,,,,
5,3,3,4,5,6,,,,,
6,4,4,4,5,6,7,,,,
7,4,4,4,5,6,7,8,,,
8,5,5,5,5,6,7,8,9,,
9,5,5,5,5,6,7,8,9,10,
10,6,6,6,6,6,7,8,9,10,11
,,,,,,,,,,
,,,,,,,,,,
Rn\m,1,2,3,4,5,6,7,8,9,10
1,1,,,,,,,,,
2,2,3,,,,,,,,
3,2,3,4,,,,,,,
4,2,3,4,4,,,,,,
5,2,3,4,4,4,,,,,
6,2,3,4,4,4,4,,,,
7,2,3,4,4,4,4,4,,,
8,2,3,4,4,4,4,4,4,,
9,2,3,4,4,4,4,4,4,4,
10,2,3,4,4,4,4,4,4,4,4
